teamA,teamB,teamAAttack,teamAMidfield,teamADefense,teamAFormScore,teamAStrength,teamBAttack,teamBMidfield,teamBDefense,teamBFormScore,teamBStrength,result
"Iraq","Qatar","72","73","72","10","74","72","73","70","7","71","teamAWin"
"Qatar","Argentina","72","73","70","7","71","88","86","82","13","89","teamBWin"
"Argentina","Qatar","88","86","82","13","89","72","73","70","7","71","teamAWin"
"Qatar","Algeria","72","73","70","7","71","78","79","76","10","79","teamBWin"
"Algeria","Qatar","78","79","76","10","79","72","73","70","7","71","teamAWin"
"Qatar","Austria","72","73","70","7","71","79","82","79","10","81","teamBWin"
"Austria","Qatar","79","82","79","10","81","72","73","70","7","71","teamAWin"
"Qatar","Jordan","72","73","70","7","71","71","72","70","8","71","draw"
"Jordan","Qatar","71","72","70","8","71","72","73","70","7","71","draw"
"Qatar","Portugal","72","73","70","7","71","87","84","80","10","85","teamBWin"
"Portugal","Qatar","87","84","80","10","85","72","73","70","7","71","teamAWin"
"Qatar","Uzbekistan","72","73","70","7","71","73","75","74","10","76","teamBWin"
"Uzbekistan","Qatar","73","75","74","10","76","72","73","70","7","71","draw"
"Qatar","Colombia","72","73","70","7","71","82","81","78","10","82","teamBWin"
"Colombia","Qatar","82","81","78","10","82","72","73","70","7","71","teamAWin"
"Qatar","DR Congo","72","73","70","7","71","74","74","75","8","74","draw"
"DR Congo","Qatar","74","74","75","8","74","72","73","70","7","71","draw"
"Qatar","England","72","73","70","7","71","86","86","84","13","89","teamBWin"
"England","Qatar","86","86","84","13","89","72","73","70","7","71","teamAWin"
"Qatar","Croatia","72","73","70","7","71","77","84","79","8","79","teamBWin"
"Croatia","Qatar","77","84","79","8","79","72","73","70","7","71","teamAWin"
"Qatar","Ghana","72","73","70","7","71","76","75","73","7","74","teamBWin"
"Ghana","Qatar","76","75","73","7","74","72","73","70","7","71","draw"
"Qatar","Panama","72","73","70","7","71","72","73","72","10","74","draw"
"Panama","Qatar","72","73","72","10","74","72","73","70","7","71","draw"
"Bosnia and Herzegovina","Brazil","75","77","74","8","75","89","85","81","10","86","teamBWin"
"Brazil","Bosnia and Herzegovina","89","85","81","10","86","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Morocco","75","77","74","8","75","78","79","84","10","81","teamBWin"
"Morocco","Bosnia and Herzegovina","78","79","84","10","81","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Haiti","75","77","74","8","75","70","69","68","7","69","teamAWin"
"Haiti","Bosnia and Herzegovina","70","69","68","7","69","75","77","74","8","75","teamBWin"
"Bosnia and Herzegovina","Scotland","75","77","74","8","75","75","78","77","8","76","draw"
"Scotland","Bosnia and Herzegovina","75","78","77","8","76","75","77","74","8","75","draw"
"Bosnia and Herzegovina","USA","75","77","74","8","75","76","74","72","10","76","draw"
"USA","Bosnia and Herzegovina","76","74","72","10","76","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Paraguay","75","77","74","8","75","74","75","77","8","75","draw"
"Paraguay","Bosnia and Herzegovina","74","75","77","8","75","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Australia","75","77","74","8","75","76","75","76","10","77","draw"
"Australia","Bosnia and Herzegovina","76","75","76","10","77","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Türkiye","75","77","74","8","75","80","79","75","10","80","draw"
"Türkiye","Bosnia and Herzegovina","80","79","75","10","80","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Germany","75","77","74","8","75","84","85","80","8","82","teamBWin"
"Germany","Bosnia and Herzegovina","84","85","80","8","82","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Curacao","75","77","74","8","75","70","70","69","8","70","teamAWin"
"Curacao","Bosnia and Herzegovina","70","70","69","8","70","75","77","74","8","75","teamBWin"
"Bosnia and Herzegovina","Ivory Coast","75","77","74","8","75","80","78","77","10","80","teamBWin"
"Ivory Coast","Bosnia and Herzegovina","80","78","77","10","80","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Ecuador","75","77","74","8","75","78","79","80","8","78","teamBWin"
"Ecuador","Bosnia and Herzegovina","78","79","80","8","78","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Netherlands","75","77","74","8","75","82","83","86","10","84","teamBWin"
"Netherlands","Bosnia and Herzegovina","82","83","86","10","84","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Japan","75","77","74","8","75","80","82","78","10","81","draw"
"Japan","Bosnia and Herzegovina","80","82","78","10","81","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Tunisia","75","77","74","8","75","72","74","78","8","74","draw"
"Tunisia","Bosnia and Herzegovina","72","74","78","8","74","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Sweden","75","77","74","8","75","79","80","79","10","80","teamBWin"
"Sweden","Bosnia and Herzegovina","79","80","79","10","80","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Belgium","75","77","74","8","75","82","84","78","10","82","teamBWin"
"Belgium","Bosnia and Herzegovina","82","84","78","10","82","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Egypt","75","77","74","8","75","79","76","75","10","78","draw"
"Egypt","Bosnia and Herzegovina","79","76","75","10","78","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Iran","75","77","74","8","75","75","76","77","8","75","teamBWin"
"Iran","Bosnia and Herzegovina","75","76","77","8","75","75","77","74","8","75","draw"
"Bosnia and Herzegovina","New Zealand","75","77","74","8","75","70","69","71","7","69","teamAWin"
"New Zealand","Bosnia and Herzegovina","70","69","71","7","69","75","77","74","8","75","teamBWin"
"Bosnia and Herzegovina","Spain","75","77","74","8","75","86","90","84","13","90","teamBWin"
"Spain","Bosnia and Herzegovina","86","90","84","13","90","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Cape Verde","75","77","74","8","75","72","73","72","8","72","teamAWin"
"Cape Verde","Bosnia and Herzegovina","72","73","72","8","72","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Saudi Arabia","75","77","74","8","75","74","75","73","8","74","teamAWin"
"Saudi Arabia","Bosnia and Herzegovina","74","75","73","8","74","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Uruguay","75","77","74","8","75","83","82","82","10","83","teamBWin"
"Uruguay","Bosnia and Herzegovina","83","82","82","10","83","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","France","75","77","74","8","75","90","84","83","10","87","teamBWin"
"France","Bosnia and Herzegovina","90","84","83","10","87","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Senegal","75","77","74","8","75","81","79","81","10","81","teamBWin"
"Senegal","Bosnia and Herzegovina","81","79","81","10","81","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Norway","75","77","74","8","75","84","80","76","10","82","teamBWin"
"Norway","Bosnia and Herzegovina","84","80","76","10","82","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Iraq","75","77","74","8","75","72","73","72","10","74","teamAWin"
"Iraq","Bosnia and Herzegovina","72","73","72","10","74","75","77","74","8","75","teamBWin"
"Bosnia and Herzegovina","Argentina","75","77","74","8","75","88","86","82","13","89","teamBWin"
"Argentina","Bosnia and Herzegovina","88","86","82","13","89","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Algeria","75","77","74","8","75","78","79","76","10","79","teamBWin"
"Algeria","Bosnia and Herzegovina","78","79","76","10","79","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Austria","75","77","74","8","75","79","82","79","10","81","teamBWin"
"Austria","Bosnia and Herzegovina","79","82","79","10","81","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Jordan","75","77","74","8","75","71","72","70","8","71","teamAWin"
"Jordan","Bosnia and Herzegovina","71","72","70","8","71","75","77","74","8","75","teamBWin"
"Bosnia and Herzegovina","Portugal","75","77","74","8","75","87","84","80","10","85","teamBWin"
"Portugal","Bosnia and Herzegovina","87","84","80","10","85","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Uzbekistan","75","77","74","8","75","73","75","74","10","76","draw"
"Uzbekistan","Bosnia and Herzegovina","73","75","74","10","76","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Colombia","75","77","74","8","75","82","81","78","10","82","teamBWin"
"Colombia","Bosnia and Herzegovina","82","81","78","10","82","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","DR Congo","75","77","74","8","75","74","74","75","8","74","draw"
"DR Congo","Bosnia and Herzegovina","74","74","75","8","74","75","77","74","8","75","draw"
"Bosnia and Herzegovina","England","75","77","74","8","75","86","86","84","13","89","teamBWin"
"England","Bosnia and Herzegovina","86","86","84","13","89","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Croatia","75","77","74","8","75","77","84","79","8","79","teamBWin"
"Croatia","Bosnia and Herzegovina","77","84","79","8","79","75","77","74","8","75","teamAWin"
"Bosnia and Herzegovina","Ghana","75","77","74","8","75","76","75","73","7","74","draw"
"Ghana","Bosnia and Herzegovina","76","75","73","7","74","75","77","74","8","75","draw"
"Bosnia and Herzegovina","Panama","75","77","74","8","75","72","73","72","10","74","draw"
"Panama","Bosnia and Herzegovina","72","73","72","10","74","75","77","74","8","75","draw"
"Brazil","Morocco","89","85","81","10","86","78","79","84","10","81","teamAWin"
"Morocco","Brazil","78","79","84","10","81","89","85","81","10","86","teamBWin"
"Brazil","Haiti","89","85","81","10","86","70","69","68","7","69","teamAWin"
"Haiti","Brazil","70","69","68","7","69","89","85","81","10","86","teamBWin"
"Brazil","Scotland","89","85","81","10","86","75","78","77","8","76","teamAWin"
"Scotland","Brazil","75","78","77","8","76","89","85","81","10","86","teamBWin"
"Brazil","USA","89","85","81","10","86","76","74","72","10","76","teamAWin"
"USA","Brazil","76","74","72","10","76","89","85","81","10","86","teamBWin"
"Brazil","Paraguay","89","85","81","10","86","74","75","77","8","75","teamAWin"
"Paraguay","Brazil","74","75","77","8","75","89","85","81","10","86","teamBWin"
"Brazil","Australia","89","85","81","10","86","76","75","76","10","77","teamAWin"
"Australia","Brazil","76","75","76","10","77","89","85","81","10","86","teamBWin"
"Brazil","Türkiye","89","85","81","10","86","80","79","75","10","80","teamAWin"
"Türkiye","Brazil","80","79","75","10","80","89","85","81","10","86","teamBWin"
"Brazil","Germany","89","85","81","10","86","84","85","80","8","82","teamAWin"
"Germany","Brazil","84","85","80","8","82","89","85","81","10","86","draw"
"Brazil","Curacao","89","85","81","10","86","70","70","69","8","70","teamAWin"
"Curacao","Brazil","70","70","69","8","70","89","85","81","10","86","teamBWin"
"Brazil","Ivory Coast","89","85","81","10","86","80","78","77","10","80","teamAWin"
"Ivory Coast","Brazil","80","78","77","10","80","89","85","81","10","86","teamBWin"
"Brazil","Ecuador","89","85","81","10","86","78","79","80","8","78","teamAWin"
"Ecuador","Brazil","78","79","80","8","78","89","85","81","10","86","teamBWin"
"Brazil","Netherlands","89","85","81","10","86","82","83","86","10","84","teamAWin"
"Netherlands","Brazil","82","83","86","10","84","89","85","81","10","86","draw"
"Brazil","Japan","89","85","81","10","86","80","82","78","10","81","draw"
"Japan","Brazil","80","82","78","10","81","89","85","81","10","86","draw"
"Brazil","Tunisia","89","85","81","10","86","72","74","78","8","74","teamAWin"
"Tunisia","Brazil","72","74","78","8","74","89","85","81","10","86","teamBWin"
"Brazil","Sweden","89","85","81","10","86","79","80","79","10","80","teamAWin"
"Sweden","Brazil","79","80","79","10","80","89","85","81","10","86","teamBWin"
"Brazil","Belgium","89","85","81","10","86","82","84","78","10","82","teamAWin"
"Belgium","Brazil","82","84","78","10","82","89","85","81","10","86","draw"
"Brazil","Egypt","89","85","81","10","86","79","76","75","10","78","teamAWin"
"Egypt","Brazil","79","76","75","10","78","89","85","81","10","86","teamBWin"
"Brazil","Iran","89","85","81","10","86","75","76","77","8","75","teamAWin"
"Iran","Brazil","75","76","77","8","75","89","85","81","10","86","teamBWin"
"Brazil","New Zealand","89","85","81","10","86","70","69","71","7","69","teamAWin"
"New Zealand","Brazil","70","69","71","7","69","89","85","81","10","86","teamBWin"
"Brazil","Spain","89","85","81","10","86","86","90","84","13","90","draw"
"Spain","Brazil","86","90","84","13","90","89","85","81","10","86","draw"
"Brazil","Cape Verde","89","85","81","10","86","72","73","72","8","72","teamAWin"
"Cape Verde","Brazil","72","73","72","8","72","89","85","81","10","86","teamBWin"
"Brazil","Saudi Arabia","89","85","81","10","86","74","75","73","8","74","teamAWin"
"Saudi Arabia","Brazil","74","75","73","8","74","89","85","81","10","86","teamBWin"
"Brazil","Uruguay","89","85","81","10","86","83","82","82","10","83","draw"
"Uruguay","Brazil","83","82","82","10","83","89","85","81","10","86","teamBWin"
"Brazil","France","89","85","81","10","86","90","84","83","10","87","draw"
"France","Brazil","90","84","83","10","87","89","85","81","10","86","draw"
"Brazil","Senegal","89","85","81","10","86","81","79","81","10","81","teamAWin"
"Senegal","Brazil","81","79","81","10","81","89","85","81","10","86","teamBWin"
"Brazil","Norway","89","85","81","10","86","84","80","76","10","82","teamAWin"
"Norway","Brazil","84","80","76","10","82","89","85","81","10","86","teamBWin"
"Brazil","Iraq","89","85","81","10","86","72","73","72","10","74","teamAWin"
"Iraq","Brazil","72","73","72","10","74","89","85","81","10","86","teamBWin"
"Brazil","Argentina","89","85","81","10","86","88","86","82","13","89","draw"
"Argentina","Brazil","88","86","82","13","89","89","85","81","10","86","draw"
"Brazil","Algeria","89","85","81","10","86","78","79","76","10","79","teamAWin"
"Algeria","Brazil","78","79","76","10","79","89","85","81","10","86","teamBWin"
"Brazil","Austria","89","85","81","10","86","79","82","79","10","81","teamAWin"
"Austria","Brazil","79","82","79","10","81","89","85","81","10","86","teamBWin"
"Brazil","Jordan","89","85","81","10","86","71","72","70","8","71","teamAWin"
"Jordan","Brazil","71","72","70","8","71","89","85","81","10","86","teamBWin"
"Brazil","Portugal","89","85","81","10","86","87","84","80","10","85","draw"
"Portugal","Brazil","87","84","80","10","85","89","85","81","10","86","draw"
"Brazil","Uzbekistan","89","85","81","10","86","73","75","74","10","76","teamAWin"
"Uzbekistan","Brazil","73","75","74","10","76","89","85","81","10","86","teamBWin"
"Brazil","Colombia","89","85","81","10","86","82","81","78","10","82","teamAWin"
"Colombia","Brazil","82","81","78","10","82","89","85","81","10","86","draw"
"Brazil","DR Congo","89","85","81","10","86","74","74","75","8","74","teamAWin"
"DR Congo","Brazil","74","74","75","8","74","89","85","81","10","86","teamBWin"
"Brazil","England","89","85","81","10","86","86","86","84","13","89","draw"
"England","Brazil","86","86","84","13","89","89","85","81","10","86","teamAWin"
"Brazil","Croatia","89","85","81","10","86","77","84","79","8","79","teamAWin"
"Croatia","Brazil","77","84","79","8","79","89","85","81","10","86","teamBWin"
"Brazil","Ghana","89","85","81","10","86","76","75","73","7","74","teamAWin"
"Ghana","Brazil","76","75","73","7","74","89","85","81","10","86","teamBWin"
"Brazil","Panama","89","85","81","10","86","72","73","72","10","74","teamAWin"
"Panama","Brazil","72","73","72","10","74","89","85","81","10","86","teamBWin"
"Morocco","Haiti","78","79","84","10","81","70","69","68","7","69","teamAWin"
"Haiti","Morocco","70","69","68","7","69","78","79","84","10","81","teamBWin"
"Morocco","Scotland","78","79","84","10","81","75","78","77","8","76","teamAWin"
"Scotland","Morocco","75","78","77","8","76","78","79","84","10","81","teamBWin"
"Morocco","USA","78","79","84","10","81","76","74","72","10","76","teamAWin"
"USA","Morocco","76","74","72","10","76","78","79","84","10","81","teamBWin"
"Morocco","Paraguay","78","79","84","10","81","74","75","77","8","75","teamAWin"
"Paraguay","Morocco","74","75","77","8","75","78","79","84","10","81","teamBWin"
"Morocco","Australia","78","79","84","10","81","76","75","76","10","77","teamAWin"
"Australia","Morocco","76","75","76","10","77","78","79","84","10","81","teamBWin"
"Morocco","Türkiye","78","79","84","10","81","80","79","75","10","80","teamAWin"
"Türkiye","Morocco","80","79","75","10","80","78","79","84","10","81","draw"
"Morocco","Germany","78","79","84","10","81","84","85","80","8","82","draw"
"Germany","Morocco","84","85","80","8","82","78","79","84","10","81","teamAWin"
"Morocco","Curacao","78","79","84","10","81","70","70","69","8","70","teamAWin"
"Curacao","Morocco","70","70","69","8","70","78","79","84","10","81","teamBWin"
"Morocco","Ivory Coast","78","79","84","10","81","80","78","77","10","80","draw"
"Ivory Coast","Morocco","80","78","77","10","80","78","79","84","10","81","draw"
"Morocco","Ecuador","78","79","84","10","81","78","79","80","8","78","draw"
"Ecuador","Morocco","78","79","80","8","78","78","79","84","10","81","draw"
"Morocco","Netherlands","78","79","84","10","81","82","83","86","10","84","draw"
"Netherlands","Morocco","82","83","86","10","84","78","79","84","10","81","teamAWin"
"Morocco","Japan","78","79","84","10","81","80","82","78","10","81","draw"
"Japan","Morocco","80","82","78","10","81","78","79","84","10","81","draw"
"Morocco","Tunisia","78","79","84","10","81","72","74","78","8","74","teamAWin"
"Tunisia","Morocco","72","74","78","8","74","78","79","84","10","81","teamBWin"
"Morocco","Sweden","78","79","84","10","81","79","80","79","10","80","draw"
"Sweden","Morocco","79","80","79","10","80","78","79","84","10","81","teamBWin"
"Morocco","Belgium","78","79","84","10","81","82","84","78","10","82","draw"
"Belgium","Morocco","82","84","78","10","82","78","79","84","10","81","draw"
"Morocco","Egypt","78","79","84","10","81","79","76","75","10","78","teamAWin"
"Egypt","Morocco","79","76","75","10","78","78","79","84","10","81","teamBWin"
"Morocco","Iran","78","79","84","10","81","75","76","77","8","75","draw"
"Iran","Morocco","75","76","77","8","75","78","79","84","10","81","teamBWin"
"Morocco","New Zealand","78","79","84","10","81","70","69","71","7","69","teamAWin"
"New Zealand","Morocco","70","69","71","7","69","78","79","84","10","81","teamBWin"
"Morocco","Spain","78","79","84","10","81","86","90","84","13","90","teamBWin"
"Spain","Morocco","86","90","84","13","90","78","79","84","10","81","teamAWin"
"Morocco","Cape Verde","78","79","84","10","81","72","73","72","8","72","teamAWin"
"Cape Verde","Morocco","72","73","72","8","72","78","79","84","10","81","teamBWin"
"Morocco","Saudi Arabia","78","79","84","10","81","74","75","73","8","74","teamAWin"
"Saudi Arabia","Morocco","74","75","73","8","74","78","79","84","10","81","teamBWin"
"Morocco","Uruguay","78","79","84","10","81","83","82","82","10","83","teamBWin"
"Uruguay","Morocco","83","82","82","10","83","78","79","84","10","81","draw"
"Morocco","France","78","79","84","10","81","90","84","83","10","87","teamBWin"
"France","Morocco","90","84","83","10","87","78","79","84","10","81","teamAWin"
"Morocco","Senegal","78","79","84","10","81","81","79","81","10","81","draw"
"Senegal","Morocco","81","79","81","10","81","78","79","84","10","81","draw"
"Morocco","Norway","78","79","84","10","81","84","80","76","10","82","draw"
"Norway","Morocco","84","80","76","10","82","78","79","84","10","81","draw"
"Morocco","Iraq","78","79","84","10","81","72","73","72","10","74","teamAWin"
"Iraq","Morocco","72","73","72","10","74","78","79","84","10","81","teamBWin"
"Morocco","Argentina","78","79","84","10","81","88","86","82","13","89","teamBWin"
"Argentina","Morocco","88","86","82","13","89","78","79","84","10","81","teamAWin"
"Morocco","Algeria","78","79","84","10","81","78","79","76","10","79","draw"
"Algeria","Morocco","78","79","76","10","79","78","79","84","10","81","draw"
"Morocco","Austria","78","79","84","10","81","79","82","79","10","81","draw"
"Austria","Morocco","79","82","79","10","81","78","79","84","10","81","draw"
"Morocco","Jordan","78","79","84","10","81","71","72","70","8","71","teamAWin"
"Jordan","Morocco","71","72","70","8","71","78","79","84","10","81","teamBWin"
"Morocco","Portugal","78","79","84","10","81","87","84","80","10","85","teamBWin"
"Portugal","Morocco","87","84","80","10","85","78","79","84","10","81","teamAWin"
"Morocco","Uzbekistan","78","79","84","10","81","73","75","74","10","76","teamAWin"
"Uzbekistan","Morocco","73","75","74","10","76","78","79","84","10","81","teamBWin"
"Morocco","Colombia","78","79","84","10","81","82","81","78","10","82","draw"
"Colombia","Morocco","82","81","78","10","82","78","79","84","10","81","draw"
"Morocco","DR Congo","78","79","84","10","81","74","74","75","8","74","teamAWin"
"DR Congo","Morocco","74","74","75","8","74","78","79","84","10","81","teamBWin"
"Morocco","England","78","79","84","10","81","86","86","84","13","89","teamBWin"
"England","Morocco","86","86","84","13","89","78","79","84","10","81","teamAWin"
"Morocco","Croatia","78","79","84","10","81","77","84","79","8","79","draw"
"Croatia","Morocco","77","84","79","8","79","78","79","84","10","81","draw"
"Morocco","Ghana","78","79","84","10","81","76","75","73","7","74","teamAWin"
"Ghana","Morocco","76","75","73","7","74","78","79","84","10","81","teamBWin"
"Morocco","Panama","78","79","84","10","81","72","73","72","10","74","teamAWin"
"Panama","Morocco","72","73","72","10","74","78","79","84","10","81","teamBWin"
"Haiti","Scotland","70","69","68","7","69","75","78","77","8","76","teamBWin"
"Scotland","Haiti","75","78","77","8","76","70","69","68","7","69","teamAWin"
"Haiti","USA","70","69","68","7","69","76","74","72","10","76","teamBWin"
"USA","Haiti","76","74","72","10","76","70","69","68","7","69","teamAWin"
"Haiti","Paraguay","70","69","68","7","69","74","75","77","8","75","teamBWin"
"Paraguay","Haiti","74","75","77","8","75","70","69","68","7","69","teamAWin"
"Haiti","Australia","70","69","68","7","69","76","75","76","10","77","teamBWin"
"Australia","Haiti","76","75","76","10","77","70","69","68","7","69","teamAWin"
"Haiti","Türkiye","70","69","68","7","69","80","79","75","10","80","teamBWin"
"Türkiye","Haiti","80","79","75","10","80","70","69","68","7","69","teamAWin"
"Haiti","Germany","70","69","68","7","69","84","85","80","8","82","teamBWin"
"Germany","Haiti","84","85","80","8","82","70","69","68","7","69","teamAWin"
"Haiti","Curacao","70","69","68","7","69","70","70","69","8","70","draw"
"Curacao","Haiti","70","70","69","8","70","70","69","68","7","69","draw"
"Haiti","Ivory Coast","70","69","68","7","69","80","78","77","10","80","teamBWin"
"Ivory Coast","Haiti","80","78","77","10","80","70","69","68","7","69","teamAWin"
"Haiti","Ecuador","70","69","68","7","69","78","79","80","8","78","teamBWin"
"Ecuador","Haiti","78","79","80","8","78","70","69","68","7","69","teamAWin"
"Haiti","Netherlands","70","69","68","7","69","82","83","86","10","84","teamBWin"
"Netherlands","Haiti","82","83","86","10","84","70","69","68","7","69","teamAWin"
"Haiti","Japan","70","69","68","7","69","80","82","78","10","81","teamBWin"
"Japan","Haiti","80","82","78","10","81","70","69","68","7","69","teamAWin"
"Haiti","Tunisia","70","69","68","7","69","72","74","78","8","74","teamBWin"
"Tunisia","Haiti","72","74","78","8","74","70","69","68","7","69","teamAWin"
"Haiti","Sweden","70","69","68","7","69","79","80","79","10","80","teamBWin"
"Sweden","Haiti","79","80","79","10","80","70","69","68","7","69","teamAWin"
"Haiti","Belgium","70","69","68","7","69","82","84","78","10","82","teamBWin"
"Belgium","Haiti","82","84","78","10","82","70","69","68","7","69","teamAWin"
"Haiti","Egypt","70","69","68","7","69","79","76","75","10","78","teamBWin"
"Egypt","Haiti","79","76","75","10","78","70","69","68","7","69","teamAWin"
"Haiti","Iran","70","69","68","7","69","75","76","77","8","75","teamBWin"
"Iran","Haiti","75","76","77","8","75","70","69","68","7","69","teamAWin"
"Haiti","New Zealand","70","69","68","7","69","70","69","71","7","69","draw"
"New Zealand","Haiti","70","69","71","7","69","70","69","68","7","69","draw"
"Haiti","Spain","70","69","68","7","69","86","90","84","13","90","teamBWin"
"Spain","Haiti","86","90","84","13","90","70","69","68","7","69","teamAWin"
"Haiti","Cape Verde","70","69","68","7","69","72","73","72","8","72","draw"
"Cape Verde","Haiti","72","73","72","8","72","70","69","68","7","69","teamAWin"
"Haiti","Saudi Arabia","70","69","68","7","69","74","75","73","8","74","draw"
"Saudi Arabia","Haiti","74","75","73","8","74","70","69","68","7","69","teamAWin"
"Haiti","Uruguay","70","69","68","7","69","83","82","82","10","83","teamBWin"
"Uruguay","Haiti","83","82","82","10","83","70","69","68","7","69","teamAWin"
"Haiti","France","70","69","68","7","69","90","84","83","10","87","teamBWin"
"France","Haiti","90","84","83","10","87","70","69","68","7","69","teamAWin"
"Haiti","Senegal","70","69","68","7","69","81","79","81","10","81","teamBWin"
"Senegal","Haiti","81","79","81","10","81","70","69","68","7","69","teamAWin"
"Haiti","Norway","70","69","68","7","69","84","80","76","10","82","teamBWin"
"Norway","Haiti","84","80","76","10","82","70","69","68","7","69","teamAWin"
"Haiti","Iraq","70","69","68","7","69","72","73","72","10","74","teamBWin"
"Iraq","Haiti","72","73","72","10","74","70","69","68","7","69","teamAWin"
"Haiti","Argentina","70","69","68","7","69","88","86","82","13","89","teamBWin"
"Argentina","Haiti","88","86","82","13","89","70","69","68","7","69","teamAWin"
"Haiti","Algeria","70","69","68","7","69","78","79","76","10","79","teamBWin"
"Algeria","Haiti","78","79","76","10","79","70","69","68","7","69","teamAWin"
"Haiti","Austria","70","69","68","7","69","79","82","79","10","81","teamBWin"
"Austria","Haiti","79","82","79","10","81","70","69","68","7","69","teamAWin"
"Haiti","Jordan","70","69","68","7","69","71","72","70","8","71","draw"
"Jordan","Haiti","71","72","70","8","71","70","69","68","7","69","teamAWin"
"Haiti","Portugal","70","69","68","7","69","87","84","80","10","85","teamBWin"
"Portugal","Haiti","87","84","80","10","85","70","69","68","7","69","teamAWin"
"Haiti","Uzbekistan","70","69","68","7","69","73","75","74","10","76","teamBWin"
"Uzbekistan","Haiti","73","75","74","10","76","70","69","68","7","69","teamAWin"
"Haiti","Colombia","70","69","68","7","69","82","81","78","10","82","teamBWin"
"Colombia","Haiti","82","81","78","10","82","70","69","68","7","69","teamAWin"
"Haiti","DR Congo","70","69","68","7","69","74","74","75","8","74","teamBWin"
"DR Congo","Haiti","74","74","75","8","74","70","69","68","7","69","draw"
"Haiti","England","70","69","68","7","69","86","86","84","13","89","teamBWin"
"England","Haiti","86","86","84","13","89","70","69","68","7","69","teamAWin"
"Haiti","Croatia","70","69","68","7","69","77","84","79","8","79","teamBWin"
"Croatia","Haiti","77","84","79","8","79","70","69","68","7","69","teamAWin"
"Haiti","Ghana","70","69","68","7","69","76","75","73","7","74","teamBWin"
"Ghana","Haiti","76","75","73","7","74","70","69","68","7","69","teamAWin"
"Haiti","Panama","70","69","68","7","69","72","73","72","10","74","teamBWin"
"Panama","Haiti","72","73","72","10","74","70","69","68","7","69","draw"
"Scotland","USA","75","78","77","8","76","76","74","72","10","76","draw"
"USA","Scotland","76","74","72","10","76","75","78","77","8","76","teamBWin"
"Scotland","Paraguay","75","78","77","8","76","74","75","77","8","75","draw"
"Paraguay","Scotland","74","75","77","8","75","75","78","77","8","76","teamBWin"
"Scotland","Australia","75","78","77","8","76","76","75","76","10","77","draw"
"Australia","Scotland","76","75","76","10","77","75","78","77","8","76","draw"
"Scotland","Türkiye","75","78","77","8","76","80","79","75","10","80","draw"
"Türkiye","Scotland","80","79","75","10","80","75","78","77","8","76","draw"
"Scotland","Germany","75","78","77","8","76","84","85","80","8","82","teamBWin"
"Germany","Scotland","84","85","80","8","82","75","78","77","8","76","teamAWin"
"Scotland","Curacao","75","78","77","8","76","70","70","69","8","70","teamAWin"
"Curacao","Scotland","70","70","69","8","70","75","78","77","8","76","teamBWin"
"Scotland","Ivory Coast","75","78","77","8","76","80","78","77","10","80","teamBWin"
"Ivory Coast","Scotland","80","78","77","10","80","75","78","77","8","76","draw"
"Scotland","Ecuador","75","78","77","8","76","78","79","80","8","78","draw"
"Ecuador","Scotland","78","79","80","8","78","75","78","77","8","76","draw"
"Scotland","Netherlands","75","78","77","8","76","82","83","86","10","84","teamBWin"
"Netherlands","Scotland","82","83","86","10","84","75","78","77","8","76","teamAWin"
"Scotland","Japan","75","78","77","8","76","80","82","78","10","81","teamBWin"
"Japan","Scotland","80","82","78","10","81","75","78","77","8","76","teamAWin"
"Scotland","Tunisia","75","78","77","8","76","72","74","78","8","74","draw"
"Tunisia","Scotland","72","74","78","8","74","75","78","77","8","76","draw"
"Scotland","Sweden","75","78","77","8","76","79","80","79","10","80","teamBWin"
